"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"
22.2656966551487	22.5160495667517	22.758524806641	23.0154868217002	23.3162301124508	23.574796092281	23.8517032880087	24.0728965923121	24.4389114596465	24.7134077167049	24.9060872189698	25.1862780247616	25.4494921580399	25.8102397938145	26.0351349649417	26.2361470922034	26.488827109771	NA	NA	NA	NA
23.7422446247902	23.831830132606	24.0179239867474	24.0701569195176	24.2078423842483	24.4028703605076	24.5033449534326	24.5722593344046	24.7707639025243	24.8780704994662	24.984146092684	25.0380605133609	25.1708503792939	25.330830397772	25.4543619744317	25.5767170692374	25.658901142193	NA	NA	NA	NA
22.294217005114	22.5399746275835	22.7193060444221	22.8843459284147	23.0978576274986	23.3200261632851	23.5322286390978	23.682563493426	23.9368171992114	24.1460426191504	24.3017300121204	24.5178283067614	24.7195005855202	24.9743829519223	25.1148978276182	25.3290562019487	25.5221760758523	NA	NA	NA	NA
24.7830151551196	24.8784126854953	24.9131986817289	24.9141918689471	24.9533374652482	24.9612935836541	25.0196919657721	25.0031526809626	25.0947982280386	25.133240494402	25.1302562237911	25.1925579539338	25.1780803247108	25.2536605517295	25.258211934921	25.2977648519956	25.2774812146501	NA	NA	NA	NA
22.8595371474916	22.9338339197886	22.8740208905925	22.9926694180172	23.1212624436685	23.1509280078868	23.2460182568389	23.2032103577688	23.2352628224246	23.4071308210607	23.3874555228187	23.5985975298812	23.5860811813473	23.6373978370997	23.6663097480546	23.6689423695027	23.7315837156708	NA	NA	NA	NA
24.7785447656451	24.8673694300215	25.1470250561638	25.4146887211714	25.5476543375513	25.8050559010235	26.0169961400807	26.2005631639515	26.4549453119285	26.7405881594619	26.9535278765289	27.0097291718963	27.2641374353425	27.5465536306528	27.8397228504822	27.9588435964743	28.1739692380534	NA	NA	NA	NA
24.9900955013021	25.3104611050241	25.636764197358	25.9635011485571	26.3433077885669	26.6772052440453	27.048422510807	27.3128225210856	27.7337365895758	28.0955698471803	28.3579526735054	28.7310029102875	29.0717127256306	29.4740738113565	29.7713772815234	30.0820692706547	30.4161344487504	NA	NA	NA	NA
27.3133885133989	27.4769253624094	27.6456214724254	27.8425003319068	28.0006188917998	28.2437421066633	28.4473279035746	28.5612079866387	28.8686754750452	28.9931898185531	29.1488412081552	29.3442113721681	29.5311315557934	29.7836680289009	29.905656744008	30.0304040567843	30.2575743660059	NA	NA	NA	NA
27.4082670286215	27.574944983039	27.7701090125196	27.8689314715274	28.0584863825541	28.1510607253203	28.3971016619503	28.4942221011852	28.7473726068847	28.8669201997846	28.9681306815075	29.1436130892647	29.3262809559294	29.5085044069574	29.6168078965194	29.751171714497	29.9042851740136	NA	NA	NA	NA
26.3878463854215	26.338039715954	26.2538533415966	26.2571121867213	26.1776459215197	26.151578405069	26.1331882351837	26.0918759894036	26.0272840685344	25.9506725116967	25.8703214100777	25.8885306228446	25.8683022732658	25.8210821096344	25.7489903490996	25.7723965874364	25.6829815143685	NA	NA	NA	NA
